contest,fips,geo_name,year,month,votes,candidate_count,incumbent,winner,vote_share,n_winners,prob_democrat,prob_republican,pid_est,prob_male,prob_female,gender_est,prob_black,prob_white,prob_hispanic,prob_asian,prob_other,race_est,percent_women,percent_white,percent_black,percent_hispanic,percent_asian_american
4865000_2015_6_san antonio_TX_Mayor_mayor_1,4865000,san antonio,2015,6.0,50662.0,2,1.0,win,0.52,1,1.0,0.0,D,0.07,0.93,F,1.0,0.0,0.0,0.0,0.0,black,0.5091634973843,0.764586914178676,0.0691531241568807,0.637184896647735,0.0952590830192415
3915000_1997_11_cincinnati_OH_Mayor_mayor_1,3915000,cincinnati,1997,11.0,50560.0,1,1.0,win,1.0,1,1.0,0.0,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.530098359759421,0.55234546142794,0.414248200069108,0.0109041909832924,0.0196309346135276
4752006_2011_8_nashville-davidson county_TN_Mayor_mayor_1,4752006,nashville-davidson county,2011,8.0,50391.0,4,1.0,win,0.8,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.515759674455367,0.607802012819328,0.283423771789935,0.100899113289048,0.0776787951900173
455000_1995_10_phoenix_AZ_Mayor_mayor_1,455000,phoenix,1995,10.0,49997.0,2,1.0,win,0.65,1,0.03,0.97,R,0.97,0.03,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.497837691933744,0.76378978273113,0.0514734768730881,0.270523875792958,0.148986868448907
664000_2004_3_sacramento_CA_Mayor_mayor_1,664000,sacramento,2004,3.0,49836.0,4,1.0,win,0.6,1,1.0,0.0,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.513706875447658,0.469814097005286,0.151418703983606,0.237106220305759,0.299571139300689
1224000_2020_11_fort lauderdale_FL_Mayor_mayor_1,1224000,fort lauderdale,2020,11.0,49388.0,2,1.0,win,0.57,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.47799293819813,0.611811862938864,0.321961537607426,0.184861539828118,0.016366503075659
3915000_2001_11_cincinnati_OH_Mayor_mayor_1,3915000,cincinnati,2001,11.0,49279.0,2,1.0,win,0.55,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.5271789313617,0.52607225653365,0.431051572876521,0.0142894593373409,0.0231125256721222
3915000_1995_11_cincinnati_OH_Mayor_mayor_1,3915000,cincinnati,1995,11.0,49165.0,1,1.0,win,1.0,1,1.0,0.0,D,0.0,1.0,F,0.0,1.0,0.0,0.0,0.0,caucasian,0.531478108541486,0.567421636904554,0.404303519929439,0.0096613435053403,0.0179172725067665
4752006_2003_8_nashville-davidson county_TN_Mayor_mayor_1,4752006,nashville-davidson county,2003,8.0,48926.0,6,1.0,win,0.84,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.515770265368785,0.642839506680459,0.272924170065204,0.0632060499562076,0.0594078749881181
4845000_2020_11_lubbock_TX_Mayor_mayor_1,4845000,lubbock,2020,11.0,48818.0,2,1.0,win,0.56,1,0.0,1.0,R,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.507073046787289,0.80580340435925,0.0784515325919535,0.361491583645524,0.0258734454463445
2603000_2016_11_ann arbor_MI_Mayor_mayor_1,2603000,ann arbor,2016,11.0,48785.0,1,1.0,win,1.0,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.504234796114674,0.718315918506442,0.0717141917781604,0.0451502049551531,0.16285543897386
2255000_2021_11_new orleans_LA_Mayor_mayor_1,2255000,new orleans,2021,11.0,48750.0,14,1.0,win,0.65,1,1.0,0.0,D,0.0,1.0,F,1.0,0.0,0.0,0.0,0.0,black,,,,,
627000_2004_3_fresno_CA_Mayor_mayor_1,627000,fresno,2004,3.0,48744.0,6,1.0,win,0.73,1,0.0,1.0,R,,,,0.13,0.87,0.0,0.0,0.0,caucasian,0.508620905103662,0.49938551247803,0.08329724930604,0.426887437024852,0.350161426274758
4748000_2011_10_memphis_TN_Mayor_mayor_1,4748000,memphis,2011,10.0,48443.0,10,1.0,win,0.66,1,1.0,0.0,D,1.0,0.0,M,1.0,0.0,0.0,0.0,0.0,black,0.525537624364253,0.293740634267583,0.634099943370829,0.0656157975584866,0.0526494418414158
4752006_1995_8_nashville-davidson county_TN_Mayor_mayor_1,4752006,nashville-davidson county,1995,8.0,48344.0,10,1.0,win,0.76,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.520718783851883,0.698434701079702,0.255482661442793,0.0283654258479932,0.0333414622973625
2507000_1997_11_boston_MA_Mayor_mayor_1,2507000,boston,1997,11.0,48323.0,1,1.0,win,1.0,1,1.0,0.0,D,1.0,0.0,M,0.0,1.0,0.0,0.0,0.0,caucasian,0.518883924336845,0.569853898676005,0.254040102188774,0.133464951157627,0.141564313864212
